round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0,0.63345,0.67776,0.50123,0.3908,0.63345,0.63345,0.63345,13.0,5.0,7043.0,4078.0,0.0,1.0,3879.0,184.0,0.00025,0.0,13.0,4.0,3164.0,3894.0,0.0024,0.00333,0.00216,0.00333
1,1,0.63336,0.66957,0.50111,0.39054,0.63336,0.63336,0.63336,12.0,5.0,7043.0,4079.0,0.0,1.0,3879.0,184.0,0.00025,0.0,12.0,4.0,3164.0,3895.0,0.00226,0.00307,0.00202,0.00307
1,2,0.45659,0.51503,0.51331,0.45332,0.45659,0.45659,0.45659,2974.0,4936.0,2112.0,1117.0,128.0,2710.0,1170.0,56.0,0.69833,0.69565,2846.0,2226.0,942.0,1061.0,0.71689,0.72844,0.01856,0.03278
1,3,0.63273,0.5664,0.50015,0.38822,0.63273,0.63273,0.63273,3.0,3.0,7045.0,4088.0,0.0,1.0,3879.0,184.0,0.00025,0.0,3.0,2.0,3166.0,3904.0,0.00071,0.00077,0.00046,0.00077
1,4,0.63408,0.66309,0.50245,0.39424,0.63408,0.63408,0.63408,27.0,12.0,7036.0,4064.0,0.0,4.0,3876.0,184.0,0.00098,0.0,27.0,8.0,3160.0,3880.0,0.00495,0.00691,0.00396,0.00691
1,5,0.63309,0.63797,0.50075,0.38975,0.63309,0.63309,0.63309,9.0,5.0,7043.0,4082.0,0.0,1.0,3879.0,184.0,0.00025,0.0,9.0,4.0,3164.0,3898.0,0.00184,0.0023,0.00159,0.0023
1,6,0.49205,0.51563,0.51631,0.49099,0.49205,0.49205,0.49205,2486.0,4053.0,2995.0,1605.0,108.0,2210.0,1670.0,76.0,0.57037,0.58696,2378.0,1843.0,1325.0,1529.0,0.59661,0.60865,0.02623,0.02169
1,7,0.63345,0.67776,0.50123,0.3908,0.63345,0.63345,0.63345,13.0,5.0,7043.0,4078.0,0.0,1.0,3879.0,184.0,0.00025,0.0,13.0,4.0,3164.0,3894.0,0.0024,0.00333,0.00216,0.00333
1,8,0.63354,0.6851,0.50136,0.39107,0.63354,0.63354,0.63354,14.0,5.0,7043.0,4077.0,0.0,1.0,3879.0,184.0,0.00025,0.0,14.0,4.0,3164.0,3893.0,0.00254,0.00358,0.0023,0.00358
1,9,0.53667,0.5164,0.51721,0.51517,0.53667,0.53667,0.53667,1816.0,2886.0,4162.0,2275.0,77.0,1574.0,2306.0,107.0,0.40625,0.41848,1739.0,1312.0,1856.0,2168.0,0.43124,0.4451,0.02499,0.02662
2,0,0.57662,0.51059,0.50832,0.49965,0.57662,0.57662,0.57662,1027.0,1652.0,5396.0,3064.0,45.0,903.0,2977.0,139.0,0.23327,0.24457,982.0,749.0,2419.0,2925.0,0.24466,0.25134,0.0114,0.00678
2,1,0.51136,0.52032,0.52177,0.50649,0.51136,0.51136,0.51136,2295.0,3647.0,3401.0,1796.0,98.0,1973.0,1907.0,86.0,0.5096,0.53261,2197.0,1674.0,1494.0,1710.0,0.54714,0.56232,0.03754,0.02972
2,2,0.56423,0.52301,0.52207,0.52194,0.56423,0.56423,0.56423,1486.0,2249.0,4799.0,2605.0,61.0,1219.0,2661.0,123.0,0.31496,0.33152,1425.0,1030.0,2138.0,2482.0,0.347,0.36473,0.03204,0.03321
2,3,0.56567,0.51598,0.51454,0.51288,0.56567,0.56567,0.56567,1317.0,2064.0,4984.0,2774.0,54.0,1136.0,2744.0,130.0,0.29281,0.29348,1263.0,928.0,2240.0,2644.0,0.30968,0.32327,0.01687,0.02979
2,4,0.6313,0.55974,0.50984,0.43145,0.6313,0.6313,0.6313,214.0,230.0,6818.0,3877.0,2.0,110.0,3770.0,182.0,0.02756,0.01087,212.0,120.0,3048.0,3695.0,0.04693,0.05426,0.01937,0.04339
2,5,0.52608,0.52088,0.52243,0.51481,0.52608,0.52608,0.52608,2081.0,3269.0,3779.0,2010.0,85.0,1765.0,2115.0,99.0,0.45522,0.46196,1996.0,1504.0,1664.0,1911.0,0.4947,0.51088,0.03948,0.04892
2,6,0.51944,0.5174,0.51872,0.50977,0.51944,0.51944,0.51944,2111.0,3373.0,3675.0,1980.0,87.0,1822.0,2058.0,97.0,0.46973,0.47283,2024.0,1551.0,1617.0,1883.0,0.5053,0.51804,0.03557,0.04522
2,7,0.49942,0.51426,0.51515,0.49639,0.49942,0.49942,0.49942,2350.0,3835.0,3213.0,1741.0,101.0,2080.0,1800.0,83.0,0.53666,0.54891,2249.0,1755.0,1413.0,1658.0,0.56594,0.57563,0.02927,0.02672
2,8,0.5198,0.52024,0.52177,0.5114,0.5198,0.5198,0.5198,2165.0,3423.0,3625.0,1926.0,89.0,1843.0,2037.0,95.0,0.47539,0.4837,2076.0,1580.0,1588.0,1831.0,0.51675,0.53135,0.04136,0.04766
2,9,0.58596,0.51508,0.51093,0.49817,0.58596,0.58596,0.58596,934.0,1455.0,5593.0,3157.0,44.0,799.0,3081.0,140.0,0.20743,0.23913,890.0,656.0,2512.0,3017.0,0.21852,0.2278,0.01108,-0.01133
