round,comm_costs
1,28513600
2,28513600
3,28513600
4,28513600
5,28513600
6,28513600
7,28513600
8,28513600
9,28513600
10,28513600
11,28513600
12,28513600
13,28513600
14,28513600
15,28513600
16,28513600
17,28513600
18,28513600
19,28513600
20,28513600
