round,vfl/train_loss
1,0.6129245518786567
2,0.5780535400339535
3,0.5655935669796808
4,0.5574820612583842
5,0.554079806974956
6,0.5519464978575707
7,0.5499594046814101
8,0.5488070398569107
9,0.5474565554942403
10,0.5464723909326962
11,0.5452227944135666
12,0.5439777395554951
13,0.5430585099543844
14,0.5414514252117701
15,0.540900906920433
16,0.5397531509399414
17,0.5374858011518205
18,0.5365009471348354
19,0.5351194840669632
20,0.5353340327313968
