round,comm_costs
1,2680
2,2680
3,2680
4,2680
5,2680
6,2680
7,2680
8,2680
9,2680
10,2680
11,2680
12,2680
13,2680
14,2680
15,2680
16,2680
17,2680
18,2680
19,2680
20,4020
