round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.53871,0.21299,0.33311,0.2335,0.53871,0.53871,0.53871
2,0.53857,0.20527,0.33302,0.23346,0.53857,0.53857,0.53857
3,0.53852,0.22129,0.333,0.23353,0.53852,0.53852,0.53852
4,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
5,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
6,0.53896,0.23525,0.33326,0.23357,0.53896,0.53896,0.53896
7,0.53886,0.22729,0.3332,0.23354,0.53886,0.53886,0.53886
8,0.53881,0.2167,0.33317,0.23353,0.53881,0.53881,0.53881
9,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
10,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
11,0.53842,0.20526,0.33292,0.23342,0.53842,0.53842,0.53842
12,0.53871,0.2167,0.33311,0.23351,0.53871,0.53871,0.53871
13,0.53886,0.22729,0.3332,0.23354,0.53886,0.53886,0.53886
14,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
15,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
16,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
17,0.53891,0.24635,0.33323,0.23355,0.53891,0.53891,0.53891
18,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
19,0.53867,0.21669,0.33308,0.23349,0.53867,0.53867,0.53867
20,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
21,0.53886,0.22729,0.3332,0.23354,0.53886,0.53886,0.53886
22,0.53847,0.21666,0.33297,0.23352,0.53847,0.53847,0.53847
23,0.53886,0.22134,0.3332,0.23354,0.53886,0.53886,0.53886
24,0.53871,0.20996,0.33311,0.2335,0.53871,0.53871,0.53871
25,0.53881,0.2167,0.33317,0.23353,0.53881,0.53881,0.53881
26,0.53871,0.25108,0.33314,0.23367,0.53871,0.53871,0.53871
27,0.53862,0.22726,0.33306,0.23356,0.53862,0.53862,0.53862
28,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
29,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
30,0.53881,0.2167,0.33317,0.23353,0.53881,0.53881,0.53881
31,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
32,0.53827,0.24415,0.33292,0.23385,0.53827,0.53827,0.53827
33,0.53871,0.21669,0.33311,0.2335,0.53871,0.53871,0.53871
34,0.53896,0.23525,0.33326,0.23357,0.53896,0.53896,0.53896
35,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
36,0.53867,0.23093,0.33309,0.23357,0.53867,0.53867,0.53867
37,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
38,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
39,0.53891,0.2273,0.33323,0.23355,0.53891,0.53891,0.53891
40,0.53896,0.23525,0.33326,0.23357,0.53896,0.53896,0.53896
41,0.53901,0.26303,0.33329,0.23358,0.53901,0.53901,0.53901
42,0.53871,0.21299,0.33311,0.2335,0.53871,0.53871,0.53871
43,0.53871,0.26739,0.33317,0.23386,0.53871,0.53871,0.53871
44,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
45,0.53862,0.20741,0.33305,0.23347,0.53862,0.53862,0.53862
46,0.53857,0.24631,0.33307,0.23373,0.53857,0.53857,0.53857
47,0.53881,0.2167,0.33317,0.23353,0.53881,0.53881,0.53881
48,0.53847,0.25371,0.33304,0.23388,0.53847,0.53847,0.53847
49,0.53876,0.25109,0.33317,0.23369,0.53876,0.53876,0.53876
50,0.53901,0.24636,0.33329,0.23358,0.53901,0.53901,0.53901
