round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,0.7587,0.87839,0.51589,0.46158,0.7587,0.7587,0.7587
3,0.80752,0.80609,0.63826,0.66087,0.80752,0.80752,0.80752
4,0.81912,0.8029,0.67265,0.70046,0.81912,0.81912,0.81912
5,0.82575,0.81031,0.68694,0.7162,0.82575,0.82575,0.82575
6,0.83109,0.79747,0.71593,0.74151,0.83109,0.83109,0.83109
7,0.83275,0.79742,0.72197,0.74664,0.83275,0.83275,0.83275
8,0.83201,0.80856,0.70741,0.73591,0.83201,0.83201,0.83201
9,0.83367,0.80353,0.7179,0.74444,0.83367,0.83367,0.83367
10,0.8298,0.81545,0.69507,0.72505,0.8298,0.8298,0.8298
11,0.83478,0.80536,0.71962,0.74631,0.83478,0.83478,0.83478
12,0.8333,0.80782,0.71222,0.7402,0.8333,0.8333,0.8333
13,0.83551,0.80742,0.71986,0.74693,0.83551,0.83551,0.83551
14,0.83257,0.81261,0.70556,0.73483,0.83257,0.83257,0.83257
15,0.83349,0.80934,0.71135,0.73968,0.83349,0.83349,0.83349
16,0.83238,0.81067,0.70667,0.73557,0.83238,0.83238,0.83238
17,0.8322,0.81549,0.7021,0.73196,0.8322,0.8322,0.8322
18,0.83128,0.81933,0.69655,0.72703,0.83128,0.83128,0.83128
19,0.83386,0.80653,0.7153,0.74273,0.83386,0.83386,0.83386
20,0.83183,0.81229,0.70358,0.7329,0.83183,0.83183,0.83183
21,0.82796,0.82404,0.68422,0.71488,0.82796,0.82796,0.82796
22,0.83201,0.80671,0.70914,0.73719,0.83201,0.83201,0.83201
23,0.83551,0.80348,0.72431,0.74993,0.83551,0.83551,0.83551
24,0.83109,0.81166,0.70186,0.73116,0.83109,0.83109,0.83109
25,0.83164,0.81031,0.7047,0.73365,0.83164,0.83164,0.83164
26,0.83257,0.80258,0.71518,0.74188,0.83257,0.83257,0.83257
27,0.83404,0.80629,0.71617,0.74346,0.83404,0.83404,0.83404
28,0.83422,0.804,0.71925,0.74571,0.83422,0.83422,0.83422
29,0.83293,0.80611,0.71271,0.74034,0.83293,0.83293,0.83293
30,0.83257,0.80373,0.71395,0.741,0.83257,0.83257,0.83257
31,0.82943,0.80928,0.69878,0.72784,0.82943,0.82943,0.82943
32,0.83459,0.80338,0.72122,0.74729,0.83459,0.83459,0.83459
33,0.83036,0.80619,0.70433,0.73265,0.83036,0.83036,0.83036
34,0.83275,0.80373,0.71457,0.74155,0.83275,0.83275,0.83275
35,0.83128,0.8063,0.70717,0.73531,0.83128,0.83128,0.83128
36,0.83257,0.80396,0.7137,0.74083,0.83257,0.83257,0.83257
37,0.83275,0.80467,0.71358,0.74085,0.83275,0.83275,0.83275
38,0.83146,0.8055,0.70852,0.73642,0.83146,0.83146,0.83146
39,0.83036,0.81014,0.70087,0.72999,0.83036,0.83036,0.83036
40,0.83238,0.80692,0.71012,0.73813,0.83238,0.83238,0.83238
41,0.83625,0.80221,0.7285,0.75315,0.83625,0.83625,0.83625
42,0.8322,0.80906,0.70753,0.73611,0.8322,0.8322,0.8322
43,0.83754,0.8009,0.73504,0.75811,0.83754,0.83754,0.83754
44,0.83293,0.80611,0.71271,0.74034,0.83293,0.83293,0.83293
45,0.83201,0.80595,0.70988,0.73774,0.83201,0.83201,0.83201
46,0.83017,0.80991,0.7005,0.7296,0.83017,0.83017,0.83017
47,0.83478,0.80215,0.72332,0.74881,0.83478,0.83478,0.83478
48,0.82999,0.81118,0.6989,0.72823,0.82999,0.82999,0.82999
49,0.83054,0.8157,0.69705,0.72704,0.83054,0.83054,0.83054
50,0.82907,0.81625,0.69236,0.72243,0.82907,0.82907,0.82907
