round,comm_costs
1,11405440
2,11405440
3,11405440
4,11405440
5,11405440
6,11405440
7,11405440
8,11405440
9,11405440
10,11405440
11,11405440
12,11405440
13,11405440
14,11405440
15,11405440
16,11405440
17,11405440
18,11405440
19,11405440
20,11405440
