round,comm_costs
1,310600
2,310600
3,310600
4,310600
5,310600
6,310600
7,310600
8,310600
9,310600
10,310600
11,310600
12,310600
13,310600
14,310600
15,310600
16,310600
17,310600
18,310600
19,310600
20,310600
21,310600
22,310600
23,310600
24,310600
25,310600
26,310600
27,310600
28,310600
29,310600
30,310600
31,310600
32,310600
33,310600
34,310600
35,310600
36,310600
37,310600
38,310600
39,310600
40,310600
41,310600
42,310600
43,310600
44,310600
45,310600
46,310600
47,310600
48,310600
49,310600
50,310600
