round,client,train_loss
1,0,0.05146453641355038
1,1,0.353214493393898
1,2,0.4658241420984268
1,3,0.3062438160181046
1,4,0.7280772805213929
1,5,0.19064395129680634
1,6,0.5978429555892945
1,7,0.659248685836792
1,8,0.4970625013113022
1,9,0.5597765892744064
2,0,0.12278855480253696
2,1,0.3107622563838959
2,2,0.4133742183446884
2,3,0.2568867728114128
2,4,0.6408574342727661
2,5,0.21864620298147203
2,6,0.5347666651010513
2,7,0.5488937616348266
2,8,0.422338530421257
2,9,0.48866828083992003
3,0,0.07507177665829659
3,1,0.27848410308361055
3,2,0.3634627550840378
3,3,0.22229864895343782
3,4,0.5967937290668488
3,5,0.18499144166707993
3,6,0.4296620309352875
3,7,0.5307045251131057
3,8,0.40161157846450807
3,9,0.4279526948928833
4,0,0.0670158725231886
4,1,0.24621210098266602
4,2,0.3257469117641449
4,3,0.19679454416036607
4,4,0.5516915619373322
4,5,0.18935634195804596
4,6,0.3789208173751831
4,7,0.4984361261129379
4,8,0.3669287979602814
4,9,0.38349252939224243
5,0,0.050268344953656195
5,1,0.21501801908016205
5,2,0.29045864641666413
5,3,0.17197995334863664
5,4,0.5210378140211105
5,5,0.22629029601812362
5,6,0.33768153190612793
5,7,0.47371745109558105
5,8,0.3307050347328186
5,9,0.3441066861152649
6,0,0.07772174626588821
6,1,0.19399890601634978
6,2,0.25656611621379855
6,3,0.14782932996749878
6,4,0.4794815510511398
6,5,0.1356615275144577
6,6,0.2954430848360062
6,7,0.4505112111568451
6,8,0.30559411346912385
6,9,0.30480771958827974
7,0,0.045264660567045215
7,1,0.17593360394239427
7,2,0.22596802264451982
7,3,0.13662323653697966
7,4,0.44210256040096285
7,5,0.10825675651431084
7,6,0.26018841862678527
7,7,0.3811800956726074
7,8,0.3016834706068039
7,9,0.2786188066005707
8,0,0.0674851093441248
8,1,0.1655362367630005
8,2,0.20623955726623536
8,3,0.1287127524614334
8,4,0.3992826700210571
8,5,0.10159486830234528
8,6,0.2278667375445366
8,7,0.3459130823612213
8,8,0.2605559974908829
8,9,0.25137718617916105
9,0,0.04841664209961891
9,1,0.15146145671606065
9,2,0.19084662050008774
9,3,0.1196840800344944
9,4,0.36772857010364535
9,5,0.09407808557152748
9,6,0.20532015711069107
9,7,0.3261286497116089
9,8,0.24257969856262207
9,9,0.2337397664785385
10,0,0.06593559104949236
10,1,0.1393493190407753
10,2,0.17563979029655458
10,3,0.10223217755556106
10,4,0.33790081441402436
10,5,0.08981898650527001
10,6,0.1927134871482849
10,7,0.3016455113887787
10,8,0.2263203114271164
10,9,0.2203947350382805
11,0,0.047146764025092124
11,1,0.12904637157917023
11,2,0.16543458998203278
11,3,0.10011795163154602
11,4,0.3249988079071045
11,5,0.08570545837283135
11,6,0.1889615088701248
11,7,0.29138255715370176
11,8,0.21744472533464432
11,9,0.20743661969900132
12,0,0.0508661612868309
12,1,0.120908485352993
12,2,0.15589821338653564
12,3,0.09698637947440147
12,4,0.30778446793556213
12,5,0.08504955247044563
12,6,0.18458257466554642
12,7,0.2829187840223312
12,8,0.207675963640213
12,9,0.1958888754248619
13,0,0.05264828968793154
13,1,0.11557302251458168
13,2,0.15151379704475404
13,3,0.09754828214645386
13,4,0.29243704676628113
13,5,0.08515871688723564
13,6,0.18169576972723006
13,7,0.2721835061907768
13,8,0.20557781606912612
13,9,0.18601944595575332
14,0,0.05310740415006876
14,1,0.11164422333240509
14,2,0.146935074031353
14,3,0.09537269100546837
14,4,0.28951542675495145
14,5,0.07994589805603028
14,6,0.18035368025302886
14,7,0.2635673627257347
14,8,0.19433231502771378
14,9,0.178172966837883
15,0,0.053063059039413926
15,1,0.11038366928696633
15,2,0.14449921250343323
15,3,0.09899260774254799
15,4,0.27892163693904876
15,5,0.08217042684555054
15,6,0.17782378792762757
15,7,0.24895519763231277
15,8,0.18212709277868272
15,9,0.17172798812389373
16,0,0.05767134856432676
16,1,0.10367713496088982
16,2,0.1429643750190735
16,3,0.09301156401634217
16,4,0.2761366695165634
16,5,0.0800679937005043
16,6,0.17558159083127975
16,7,0.24838620275259018
16,8,0.17021218091249465
16,9,0.16524769961833954
17,0,0.04706079661846161
17,1,0.1006324127316475
17,2,0.14026008546352386
17,3,0.0956939585506916
17,4,0.2673229545354843
17,5,0.08024453967809678
17,6,0.1753435492515564
17,7,0.24106006771326066
17,8,0.16782708168029786
17,9,0.15910680890083312
18,0,0.06715346314013004
18,1,0.09830041751265525
18,2,0.1353148490190506
18,3,0.09986090213060379
18,4,0.26106165200471876
18,5,0.07499768659472465
18,6,0.17587141394615174
18,7,0.2373882934451103
18,8,0.15991515517234803
18,9,0.15445614159107207
19,0,0.05129673331975937
19,1,0.09651591256260872
19,2,0.13764385730028153
19,3,0.09200778752565383
19,4,0.25994632989168165
19,5,0.07371870204806327
19,6,0.17350571155548095
19,7,0.2349422737956047
19,8,0.16059330850839615
19,9,0.15052495151758194
20,0,0.06486460343003272
20,1,0.09404661878943443
20,2,0.1314694568514824
20,3,0.09554496333003044
20,4,0.2543088227510452
20,5,0.08350065052509308
20,6,0.17271649539470674
20,7,0.22712591290473938
20,8,0.14765208810567856
20,9,0.14721917361021042
21,0,0.04889740347862244
21,1,0.09300377145409584
21,2,0.13069777488708495
21,3,0.090728247910738
21,4,0.25453551709651945
21,5,0.07642322778701782
21,6,0.17212315499782563
21,7,0.2281008318066597
21,8,0.14461723044514657
21,9,0.1421202763915062
22,0,0.07279787138104439
22,1,0.09087174087762832
22,2,0.13037154003977774
22,3,0.10058075413107873
22,4,0.24863126277923583
22,5,0.08518076539039612
22,6,0.17256805598735808
22,7,0.2202814534306526
22,8,0.14195250496268272
22,9,0.13250273317098618
23,0,0.055377495288848874
23,1,0.08985498324036598
23,2,0.13629063367843627
23,3,0.09753164947032929
23,4,0.25168120563030244
23,5,0.07080407440662384
23,6,0.17199506908655166
23,7,0.2271001160144806
23,8,0.1310285061597824
23,9,0.13289626091718673
24,0,0.061033543199300766
24,1,0.08800099417567253
24,2,0.1365294948220253
24,3,0.09205067679286003
24,4,0.24524440467357636
24,5,0.06839291453361511
24,6,0.17171289324760436
24,7,0.22623961120843888
24,8,0.14020235165953637
24,9,0.13306932747364045
25,0,0.05813836492598057
25,1,0.08681535050272941
25,2,0.134723199903965
25,3,0.08868005573749542
25,4,0.24539914429187776
25,5,0.07191066071391106
25,6,0.17171360403299332
25,7,0.2221628487110138
25,8,0.13527133390307428
25,9,0.12669944316148757
26,0,0.06323837265372276
26,1,0.0846069686114788
26,2,0.13005271032452584
26,3,0.0906501978635788
26,4,0.24085606932640075
26,5,0.0652177382260561
26,6,0.17134063094854354
26,7,0.21747221946716308
26,8,0.11912010461091996
26,9,0.12611794248223304
27,0,0.05867955461144447
27,1,0.08318613320589066
27,2,0.13053471818566323
27,3,0.08814876824617386
27,4,0.2387906566262245
27,5,0.06383821256458759
27,6,0.17053128480911256
27,7,0.2200811192393303
27,8,0.11998014003038407
27,9,0.12282462567090988
28,0,0.06774553488940001
28,1,0.0825235329568386
28,2,0.1255684368312359
28,3,0.093637353181839
28,4,0.2363182470202446
28,5,0.06393419951200485
28,6,0.1707892820239067
28,7,0.2138029471039772
28,8,0.11169403642416001
28,9,0.12063559964299202
29,0,0.05181974712759256
29,1,0.08102452605962754
29,2,0.12850760743021966
29,3,0.09165946617722512
29,4,0.23735035359859466
29,5,0.06374050080776214
29,6,0.17037119418382646
29,7,0.23130618780851364
29,8,0.11283657029271126
29,9,0.11851576790213585
30,0,0.05417406465858221
30,1,0.0797347754240036
30,2,0.1287532329559326
30,3,0.08814472556114197
30,4,0.23687461614608765
30,5,0.06487246006727218
30,6,0.16995299160480498
30,7,0.21480571776628493
30,8,0.10981560945510864
30,9,0.11920642405748368
31,0,0.05469897538423538
31,1,0.07908181622624397
31,2,0.1267261289060116
31,3,0.0890379197895527
31,4,0.2334996685385704
31,5,0.06292286887764931
31,6,0.16991945654153823
31,7,0.2165473848581314
31,8,0.10824935287237167
31,9,0.11573172062635421
32,0,0.05462318249046803
32,1,0.07825134992599488
32,2,0.1268674276769161
32,3,0.08996357172727584
32,4,0.23045699745416642
32,5,0.06416906006634235
32,6,0.16989448368549348
32,7,0.215857894718647
32,8,0.10685054808855057
32,9,0.11715489774942398
33,0,0.054433759115636346
33,1,0.07741370275616646
33,2,0.13027836307883262
33,3,0.08733506873250008
33,4,0.2287905901670456
33,5,0.06082062870264053
33,6,0.16995527893304824
33,7,0.21283389031887054
33,8,0.09928571656346322
33,9,0.11367356255650521
34,0,0.0541312275454402
34,1,0.07655645087361336
34,2,0.12788432016968726
34,3,0.08733743205666541
34,4,0.22802670896053315
34,5,0.06453282535076141
34,6,0.17012447118759155
34,7,0.21209275871515273
34,8,0.09978046268224716
34,9,0.11174007505178452
35,0,0.05987072307616472
35,1,0.07771841511130333
35,2,0.1280420169234276
35,3,0.08871088773012162
35,4,0.22773920446634294
35,5,0.05871284678578377
35,6,0.1702287182211876
35,7,0.21404933035373688
35,8,0.09984341785311698
35,9,0.1122105784714222
36,0,0.055511783622205255
36,1,0.0773758463561535
36,2,0.13170251548290252
36,3,0.08626067638397217
36,4,0.2264179155230522
36,5,0.06183802373707294
36,6,0.17099886238574982
36,7,0.2190908744931221
36,8,0.09953490048646926
36,9,0.1109741747379303
37,0,0.06327120549976825
37,1,0.07817827090620995
37,2,0.13425064086914062
37,3,0.08950216844677925
37,4,0.22640349715948105
37,5,0.06431750729680061
37,6,0.1712553545832634
37,7,0.2064371109008789
37,8,0.10518141537904739
37,9,0.11182688996195793
38,0,0.055431357398629186
38,1,0.07413061037659645
38,2,0.13061563521623612
38,3,0.08651194274425507
38,4,0.22523373663425444
38,5,0.05771007426083088
38,6,0.17245025485754012
38,7,0.22891950011253356
38,8,0.09989390522241592
38,9,0.11213668212294578
39,0,0.055615906976163386
39,1,0.07557471469044685
39,2,0.12897549122571944
39,3,0.08705597296357155
39,4,0.22466098964214326
39,5,0.05609626695513725
39,6,0.17247065752744675
39,7,0.21431513875722885
39,8,0.09998918324708939
39,9,0.10452994853258132
40,0,0.0530174907296896
40,1,0.07518263235688209
40,2,0.12874044328927994
40,3,0.08641359359025955
40,4,0.22354090511798858
40,5,0.05566866658627987
40,6,0.17103868275880812
40,7,0.21077554672956467
40,8,0.09013299420475959
40,9,0.10382050499320031
41,0,0.05681276861578226
41,1,0.07385255992412568
41,2,0.1293025493621826
41,3,0.08671487495303154
41,4,0.22316625714302063
41,5,0.05704661048948765
41,6,0.17097409516572953
41,7,0.21531024426221848
41,8,0.09063800573348998
41,9,0.10388030782341957
42,0,0.05444903066381812
42,1,0.07273092493414879
42,2,0.12933554202318193
42,3,0.08695261031389237
42,4,0.22266626358032227
42,5,0.054605529829859736
42,6,0.1709576964378357
42,7,0.2123180940747261
42,8,0.10021524652838706
42,9,0.10529434978961945
43,0,0.05598126575350761
43,1,0.07186324521899223
43,2,0.12899723052978515
43,3,0.08596746549010277
43,4,0.22246332168579103
43,5,0.0546012569218874
43,6,0.17083162516355516
43,7,0.2195452094078064
43,8,0.11363628804683686
43,9,0.10209448635578156
44,0,0.05439493292942643
44,1,0.07253767177462578
44,2,0.1284523606300354
44,3,0.08681271746754646
44,4,0.22220726758241655
44,5,0.05345973111689091
44,6,0.17076681554317474
44,7,0.20574063807725906
44,8,0.08554039523005486
44,9,0.1025751031935215
45,0,0.054755343263968824
45,1,0.07239854410290718
45,2,0.129465489089489
45,3,0.08642040193080902
45,4,0.2219101220369339
45,5,0.05439300574362278
45,6,0.17072249948978424
45,7,0.21604519337415695
45,8,0.08449937552213668
45,9,0.10242747515439987
46,0,0.05333153586834669
46,1,0.0734691470861435
46,2,0.12903789728879927
46,3,0.08604746535420418
46,4,0.22156516015529631
46,5,0.052120307460427284
46,6,0.17072380632162093
46,7,0.20868245959281922
46,8,0.08329838141798973
46,9,0.09964995682239533
47,0,0.05375426332466304
