round,comm_costs
1,3000
2,3000
3,3000
4,3000
5,3000
6,3000
7,3000
8,3000
9,3000
10,3000
11,3000
12,3000
13,3000
14,3000
15,3000
16,3000
17,3000
18,3000
19,3000
20,4500
