round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.63372,0.64539,0.50196,0.39319,0.63372,0.63372,0.63372,23.0,12.0,7036.0,4068.0,0.0,4.0,3876.0,184.0,0.00098,0.0,23.0,8.0,3160.0,3884.0,0.00438,0.00589,0.0034,0.00589
2,0.54951,0.52001,0.52038,0.52002,0.54951,0.54951,0.54951,1680.0,2607.0,4441.0,2411.0,72.0,1415.0,2465.0,112.0,0.3659,0.3913,1608.0,1192.0,1976.0,2299.0,0.39576,0.41157,0.02986,0.02026
3,0.54583,0.51888,0.51942,0.51871,0.54583,0.54583,0.54583,1718.0,2686.0,4362.0,2373.0,73.0,1455.0,2425.0,111.0,0.37598,0.39674,1645.0,1231.0,1937.0,2262.0,0.4065,0.42104,0.03052,0.0243
4,0.55023,0.52174,0.52223,0.52173,0.55023,0.55023,0.55023,1705.0,2624.0,4424.0,2386.0,71.0,1418.0,2462.0,113.0,0.36639,0.38587,1634.0,1206.0,1962.0,2273.0,0.40141,0.41822,0.03503,0.03235
5,0.5514,0.52197,0.52239,0.52201,0.5514,0.5514,0.5514,1690.0,2596.0,4452.0,2401.0,70.0,1408.0,2472.0,114.0,0.36368,0.38043,1620.0,1188.0,1980.0,2287.0,0.39689,0.41464,0.03321,0.03421
6,0.54035,0.52126,0.52238,0.5199,0.54035,0.54035,0.54035,1860.0,2889.0,4159.0,2231.0,78.0,1566.0,2314.0,106.0,0.40453,0.42391,1782.0,1323.0,1845.0,2125.0,0.43887,0.4561,0.03434,0.03219
7,0.5514,0.52539,0.52618,0.52525,0.5514,0.5514,0.5514,1764.0,2670.0,4378.0,2327.0,73.0,1440.0,2440.0,111.0,0.37229,0.39674,1691.0,1230.0,1938.0,2216.0,0.41286,0.43281,0.04057,0.03607
8,0.54646,0.52516,0.52633,0.52436,0.54646,0.54646,0.54646,1843.0,2804.0,4244.0,2248.0,77.0,1513.0,2367.0,107.0,0.39124,0.41848,1766.0,1291.0,1877.0,2141.0,0.43208,0.45201,0.04084,0.03353
9,0.55265,0.52729,0.5282,0.52713,0.55265,0.55265,0.55265,1784.0,2676.0,4372.0,2307.0,72.0,1441.0,2439.0,112.0,0.37229,0.3913,1712.0,1235.0,1933.0,2195.0,0.41654,0.43819,0.04424,0.04688
10,0.55903,0.52924,0.5297,0.52935,0.55903,0.55903,0.55903,1715.0,2536.0,4512.0,2376.0,69.0,1353.0,2527.0,115.0,0.3499,0.375,1646.0,1183.0,1985.0,2261.0,0.39986,0.4213,0.04996,0.0463
11,0.58183,0.53686,0.53397,0.53345,0.58183,0.58183,0.58183,1447.0,2014.0,5034.0,2644.0,55.0,1054.0,2826.0,129.0,0.27288,0.29891,1392.0,960.0,2208.0,2515.0,0.33244,0.35628,0.05955,0.05737
12,0.57393,0.53688,0.53599,0.5362,0.57393,0.57393,0.57393,1608.0,2263.0,4785.0,2483.0,61.0,1195.0,2685.0,123.0,0.30906,0.33152,1547.0,1068.0,2100.0,2360.0,0.36961,0.39596,0.06056,0.06443
13,0.57959,0.53888,0.53697,0.53706,0.57959,0.57959,0.57959,1540.0,2132.0,4916.0,2551.0,59.0,1104.0,2776.0,125.0,0.28617,0.32065,1481.0,1028.0,2140.0,2426.0,0.35463,0.37906,0.06846,0.05841
14,0.56926,0.54199,0.54296,0.54218,0.56926,0.56926,0.56926,1816.0,2523.0,4525.0,2275.0,68.0,1330.0,2550.0,116.0,0.344,0.36957,1748.0,1193.0,1975.0,2159.0,0.41569,0.4474,0.07169,0.07784
15,0.58497,0.54904,0.54784,0.5482,0.58497,0.58497,0.58497,1669.0,2201.0,4847.0,2422.0,64.0,1131.0,2749.0,120.0,0.29405,0.34783,1605.0,1070.0,2098.0,2302.0,0.37809,0.4108,0.08405,0.06298
16,0.57653,0.54944,0.55056,0.54972,0.57653,0.57653,0.57653,1852.0,2478.0,4570.0,2239.0,69.0,1287.0,2593.0,115.0,0.33366,0.375,1783.0,1191.0,1977.0,2124.0,0.42035,0.45636,0.08669,0.08136
17,0.61873,0.57432,0.56405,0.5635,0.61873,0.61873,0.61873,1465.0,1621.0,5427.0,2626.0,46.0,778.0,3102.0,138.0,0.20276,0.25,1419.0,843.0,2325.0,2488.0,0.31972,0.36319,0.11696,0.11319
18,0.5812,0.55979,0.56235,0.55984,0.5812,0.5812,0.5812,2010.0,2584.0,4464.0,2081.0,75.0,1320.0,2560.0,109.0,0.34326,0.40761,1935.0,1264.0,1904.0,1972.0,0.45216,0.49526,0.1089,0.08766
19,0.61424,0.57921,0.57604,0.57698,0.61424,0.61424,0.61424,1768.0,1974.0,5074.0,2323.0,63.0,938.0,2942.0,121.0,0.24631,0.34239,1705.0,1036.0,2132.0,2202.0,0.38742,0.4364,0.14111,0.094
20,0.59386,0.57555,0.57943,0.57546,0.59386,0.59386,0.59386,2148.0,2581.0,4467.0,1943.0,76.0,1273.0,2607.0,108.0,0.33194,0.41304,2072.0,1308.0,1860.0,1835.0,0.47774,0.53033,0.1458,0.11729
