round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75907,0.87853,0.51663,0.46306,0.75907,0.75907,0.75907
2,0.80199,0.83519,0.61434,0.62955,0.80199,0.80199,0.80199
3,0.83054,0.80807,0.70322,0.7319,0.83054,0.83054,0.83054
4,0.83312,0.80994,0.70963,0.7382,0.83312,0.83312,0.83312
5,0.83238,0.81011,0.70716,0.73594,0.83238,0.83238,0.83238
6,0.83496,0.80177,0.72443,0.74966,0.83496,0.83496,0.83496
7,0.83717,0.80297,0.73084,0.75524,0.83717,0.83717,0.83717
8,0.83238,0.80743,0.70963,0.73777,0.83238,0.83238,0.83238
9,0.83441,0.80535,0.71839,0.74523,0.83441,0.83441,0.83441
10,0.83128,0.81014,0.70371,0.73269,0.83128,0.83128,0.83128
11,0.83386,0.80629,0.71555,0.74291,0.83386,0.83386,0.83386
12,0.83293,0.8066,0.71222,0.73998,0.83293,0.83293,0.83293
13,0.8333,0.8042,0.71592,0.74284,0.8333,0.8333,0.8333
14,0.83238,0.80591,0.71111,0.73885,0.83238,0.83238,0.83238
15,0.83128,0.80763,0.70593,0.73438,0.83128,0.83128,0.83128
16,0.83054,0.80616,0.70495,0.73322,0.83054,0.83054,0.83054
17,0.83017,0.81203,0.69878,0.72823,0.83017,0.83017,0.83017
18,0.82999,0.81274,0.69767,0.72725,0.82999,0.82999,0.82999
19,0.83367,0.80703,0.71419,0.74184,0.83367,0.83367,0.83367
20,0.8322,0.80772,0.70877,0.73703,0.8322,0.8322,0.8322
21,0.82888,0.81853,0.69026,0.72057,0.82888,0.82888,0.82888
22,0.83293,0.80538,0.71345,0.74087,0.83293,0.83293,0.83293
23,0.83607,0.80179,0.72838,0.75295,0.83607,0.83607,0.83607
24,0.83091,0.81084,0.70198,0.73115,0.83091,0.83091,0.83091
25,0.83146,0.80627,0.70778,0.73587,0.83146,0.83146,0.83146
26,0.83735,0.80536,0.7285,0.75386,0.83735,0.83735,0.83735
27,0.83588,0.8052,0.72356,0.74967,0.83588,0.83588,0.83588
28,0.8368,0.8057,0.72615,0.75197,0.8368,0.8368,0.8368
29,0.83643,0.80321,0.72788,0.75287,0.83643,0.83643,0.83643
30,0.83662,0.80527,0.72603,0.75177,0.83662,0.83662,0.83662
31,0.83312,0.81388,0.70617,0.73561,0.83312,0.83312,0.83312
32,0.83957,0.79972,0.74478,0.76529,0.83957,0.83957,0.83957
33,0.8333,0.81295,0.70753,0.73674,0.8333,0.8333,0.8333
34,0.83809,0.80141,0.73639,0.75931,0.83809,0.83809,0.83809
35,0.83367,0.80879,0.71246,0.74059,0.83367,0.83367,0.83367
36,0.83643,0.80742,0.72294,0.7496,0.83643,0.83643,0.83643
37,0.83772,0.80601,0.72899,0.75442,0.83772,0.83772,0.83772
38,0.83275,0.81372,0.70518,0.73465,0.83275,0.83275,0.83275
39,0.83349,0.81289,0.70814,0.73731,0.83349,0.83349,0.83349
40,0.83349,0.80489,0.7158,0.74286,0.83349,0.83349,0.83349
41,0.83864,0.7966,0.74639,0.76557,0.83864,0.83864,0.83864
42,0.83441,0.80844,0.71518,0.74298,0.83441,0.83441,0.83441
43,0.84049,0.80254,0.74391,0.76543,0.84049,0.84049,0.84049
44,0.83441,0.80628,0.7174,0.74454,0.83441,0.83441,0.83441
45,0.8322,0.80618,0.71025,0.73812,0.8322,0.8322,0.8322
46,0.83054,0.80979,0.70174,0.73076,0.83054,0.83054,0.83054
47,0.83957,0.80573,0.73589,0.75999,0.83957,0.83957,0.83957
48,0.8322,0.80772,0.70877,0.73703,0.8322,0.8322,0.8322
49,0.83128,0.81563,0.69927,0.72922,0.83128,0.83128,0.83128
50,0.82943,0.80839,0.69952,0.72842,0.82943,0.82943,0.82943
