round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
19,6,0.58511,0.57533,0.58041,0.57273,0.58511,0.58511,0.58511,213.0,91.0,117.0,143.0,6.0,37.0,67.0,9.0,0.36134,0.4,207.0,54.0,50.0,134.0,0.58652,0.60704,0.22517,0.20704
19,7,0.49862,0.56589,0.57384,0.49623,0.49862,0.49862,0.49862,156.0,312.0,206.0,52.0,6.0,161.0,131.0,1.0,0.55853,0.85714,150.0,151.0,75.0,51.0,0.70492,0.74627,0.14639,-0.11087
19,8,0.57163,0.6377,0.60822,0.55914,0.57163,0.57163,0.57163,145.0,42.0,266.0,266.0,2.0,11.0,159.0,15.0,0.06952,0.11765,143.0,31.0,107.0,251.0,0.32707,0.36294,0.25755,0.2453
19,9,0.90155,0.58267,0.52089,0.52159,0.90155,0.90155,0.90155,2.0,6.0,346.0,32.0,0.0,1.0,205.0,1.0,0.00483,0.0,2.0,5.0,141.0,31.0,0.03911,0.06061,0.03428,0.06061
20,0,0.86275,0.68878,0.56006,0.57348,0.86275,0.86275,0.86275,43.0,6.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,40.0,1.0,1.0,1.0,0.95349,0.97561,-0.04651,-0.02439
20,1,0.59943,0.59038,0.5903,0.59034,0.59943,0.59943,0.59943,525.0,282.0,316.0,280.0,16.0,137.0,183.0,10.0,0.4422,0.61538,509.0,145.0,133.0,270.0,0.61873,0.6534,0.17654,0.03802
20,2,0.63696,0.60389,0.57851,0.57386,0.63696,0.63696,0.63696,58.0,49.0,235.0,118.0,4.0,17.0,134.0,7.0,0.12963,0.36364,54.0,32.0,101.0,111.0,0.28859,0.32727,0.15896,-0.03636
20,3,0.62429,0.65284,0.59891,0.57426,0.62429,0.62429,0.62429,124.0,53.0,426.0,278.0,1.0,18.0,260.0,18.0,0.06397,0.05263,123.0,35.0,166.0,260.0,0.27055,0.32115,0.20657,0.26852
20,4,0.63359,0.64575,0.5981,0.58095,0.63359,0.63359,0.63359,128.0,64.0,453.0,272.0,1.0,15.0,253.0,16.0,0.05614,0.05882,127.0,49.0,200.0,256.0,0.27848,0.33159,0.22234,0.27277
20,5,0.74893,0.58296,0.60873,0.58993,0.74893,0.74893,0.74893,177.0,444.0,1923.0,260.0,4.0,158.0,1146.0,11.0,0.12282,0.26667,173.0,286.0,777.0,249.0,0.30909,0.40995,0.18627,0.14329
20,6,0.57979,0.62192,0.62216,0.57979,0.57979,0.57979,0.57979,164.0,45.0,163.0,192.0,4.0,11.0,93.0,11.0,0.12605,0.26667,160.0,34.0,70.0,181.0,0.43596,0.46921,0.3099,0.20254
20,7,0.73967,0.67442,0.62767,0.63782,0.73967,0.73967,0.73967,76.0,57.0,461.0,132.0,2.0,21.0,271.0,5.0,0.07692,0.28571,74.0,36.0,190.0,127.0,0.25761,0.36816,0.18069,0.08244
20,8,0.63004,0.6253,0.62717,0.62552,0.63004,0.63004,0.63004,266.0,121.0,187.0,145.0,12.0,51.0,119.0,5.0,0.3369,0.70588,254.0,70.0,68.0,140.0,0.60902,0.64467,0.27212,-0.06121
20,9,0.55699,0.523,0.57111,0.44238,0.55699,0.55699,0.55699,20.0,157.0,195.0,14.0,1.0,82.0,124.0,0.0,0.40097,1.0,19.0,75.0,71.0,14.0,0.52514,0.57576,0.12417,-0.42424
21,0,0.86275,0.68878,0.56006,0.57348,0.86275,0.86275,0.86275,43.0,6.0,1.0,1.0,3.0,5.0,0.0,0.0,1.0,1.0,40.0,1.0,1.0,1.0,0.95349,0.97561,-0.04651,-0.02439
21,1,0.59943,0.59038,0.5903,0.59034,0.59943,0.59943,0.59943,525.0,282.0,316.0,280.0,16.0,137.0,183.0,10.0,0.4422,0.61538,509.0,145.0,133.0,270.0,0.61873,0.6534,0.17654,0.03802
21,2,0.63696,0.60389,0.57851,0.57386,0.63696,0.63696,0.63696,58.0,49.0,235.0,118.0,4.0,17.0,134.0,7.0,0.12963,0.36364,54.0,32.0,101.0,111.0,0.28859,0.32727,0.15896,-0.03636
21,3,0.62429,0.65284,0.59891,0.57426,0.62429,0.62429,0.62429,124.0,53.0,426.0,278.0,1.0,18.0,260.0,18.0,0.06397,0.05263,123.0,35.0,166.0,260.0,0.27055,0.32115,0.20657,0.26852
21,4,0.63359,0.64575,0.5981,0.58095,0.63359,0.63359,0.63359,128.0,64.0,453.0,272.0,1.0,15.0,253.0,16.0,0.05614,0.05882,127.0,49.0,200.0,256.0,0.27848,0.33159,0.22234,0.27277
21,5,0.74893,0.58296,0.60873,0.58993,0.74893,0.74893,0.74893,177.0,444.0,1923.0,260.0,4.0,158.0,1146.0,11.0,0.12282,0.26667,173.0,286.0,777.0,249.0,0.30909,0.40995,0.18627,0.14329
21,6,0.57979,0.62192,0.62216,0.57979,0.57979,0.57979,0.57979,164.0,45.0,163.0,192.0,4.0,11.0,93.0,11.0,0.12605,0.26667,160.0,34.0,70.0,181.0,0.43596,0.46921,0.3099,0.20254
21,7,0.73967,0.67442,0.62767,0.63782,0.73967,0.73967,0.73967,76.0,57.0,461.0,132.0,2.0,21.0,271.0,5.0,0.07692,0.28571,74.0,36.0,190.0,127.0,0.25761,0.36816,0.18069,0.08244
21,8,0.63004,0.6253,0.62717,0.62552,0.63004,0.63004,0.63004,266.0,121.0,187.0,145.0,12.0,51.0,119.0,5.0,0.3369,0.70588,254.0,70.0,68.0,140.0,0.60902,0.64467,0.27212,-0.06121
21,9,0.55699,0.523,0.57111,0.44238,0.55699,0.55699,0.55699,20.0,157.0,195.0,14.0,1.0,82.0,124.0,0.0,0.40097,1.0,19.0,75.0,71.0,14.0,0.52514,0.57576,0.12417,-0.42424
