round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,tp,fp,tn,fn,group_0_tp,group_0_fp,group_0_tn,group_0_fn,group_0_positive_rate,group_0_true_positive_rate,group_1_tp,group_1_fp,group_1_tn,group_1_fn,group_1_positive_rate,group_1_true_positive_rate,statistical_parity_difference,equal_opportunity_difference
1,0.63354,0.6851,0.50136,0.39107,0.63354,0.63354,0.63354,14.0,5.0,7043.0,4077.0,0.0,1.0,3879.0,184.0,0.00025,0.0,14.0,4.0,3164.0,3893.0,0.00254,0.00358,0.0023,0.00358
2,0.5944,0.51834,0.51196,0.49343,0.5944,0.5944,0.5944,824.0,1251.0,5797.0,3267.0,36.0,697.0,3183.0,148.0,0.18036,0.19565,788.0,554.0,2614.0,3119.0,0.18968,0.20169,0.00932,0.00604
3,0.49179,0.51579,0.51646,0.49079,0.49179,0.49179,0.49179,2493.0,4063.0,2985.0,1598.0,107.0,2214.0,1666.0,77.0,0.57111,0.58152,2386.0,1849.0,1319.0,1521.0,0.59859,0.6107,0.02747,0.02918
4,0.54377,0.51773,0.5183,0.51745,0.54377,0.54377,0.54377,1728.0,2719.0,4329.0,2363.0,74.0,1470.0,2410.0,110.0,0.37992,0.40217,1654.0,1249.0,1919.0,2253.0,0.41032,0.42334,0.0304,0.02117
5,0.61621,0.53466,0.51525,0.47613,0.61621,0.61621,0.61621,552.0,736.0,6312.0,3539.0,20.0,404.0,3476.0,164.0,0.10433,0.1087,532.0,332.0,2836.0,3375.0,0.12212,0.13617,0.01779,0.02747
6,0.47949,0.51505,0.51509,0.47948,0.47949,0.47949,0.47949,2656.0,4363.0,2685.0,1435.0,115.0,2380.0,1500.0,69.0,0.61393,0.625,2541.0,1983.0,1185.0,1366.0,0.63943,0.65037,0.02551,0.02537
7,0.50795,0.51812,0.51938,0.50348,0.50795,0.50795,0.50795,2301.0,3691.0,3357.0,1790.0,99.0,2004.0,1876.0,85.0,0.51747,0.53804,2202.0,1687.0,1481.0,1705.0,0.54968,0.5636,0.03221,0.02556
8,0.53093,0.51618,0.51718,0.51354,0.53093,0.53093,0.53093,1904.0,3038.0,4010.0,2187.0,78.0,1665.0,2215.0,106.0,0.42889,0.42391,1826.0,1373.0,1795.0,2081.0,0.45216,0.46737,0.02327,0.04345
9,0.55777,0.51546,0.51481,0.51451,0.55777,0.55777,0.55777,1444.0,2279.0,4769.0,2647.0,60.0,1247.0,2633.0,124.0,0.3216,0.32609,1384.0,1032.0,2136.0,2523.0,0.34148,0.35424,0.01988,0.02815
10,0.52285,0.51835,0.51972,0.5119,0.52285,0.52285,0.52285,2078.0,3302.0,3746.0,2013.0,83.0,1793.0,2087.0,101.0,0.46161,0.45109,1995.0,1509.0,1659.0,1912.0,0.49527,0.51062,0.03365,0.05954
11,0.52159,0.51823,0.5196,0.51125,0.52159,0.52159,0.52159,2095.0,3333.0,3715.0,1996.0,83.0,1821.0,2059.0,101.0,0.4685,0.45109,2012.0,1512.0,1656.0,1895.0,0.49809,0.51497,0.02959,0.06389
12,0.5733,0.51751,0.51508,0.51136,0.5733,0.5733,0.5733,1210.0,1872.0,5176.0,2881.0,48.0,1010.0,2870.0,136.0,0.26033,0.26087,1162.0,862.0,2306.0,2745.0,0.28608,0.29741,0.02574,0.03655
13,0.63605,0.59199,0.51426,0.43629,0.63605,0.63605,0.63605,227.0,190.0,6858.0,3864.0,2.0,77.0,3803.0,182.0,0.01944,0.01087,225.0,113.0,3055.0,3682.0,0.04777,0.05759,0.02833,0.04672
14,0.48514,0.51479,0.51515,0.48485,0.48514,0.48514,0.48514,2570.0,4214.0,2834.0,1521.0,113.0,2302.0,1578.0,71.0,0.59424,0.61413,2457.0,1912.0,1256.0,1450.0,0.61753,0.62887,0.02328,0.01474
15,0.626,0.54998,0.51622,0.4633,0.626,0.626,0.626,420.0,495.0,6553.0,3671.0,11.0,234.0,3646.0,173.0,0.06029,0.05978,409.0,261.0,2907.0,3498.0,0.0947,0.10468,0.03441,0.0449
16,0.47958,0.51692,0.51686,0.47957,0.47958,0.47958,0.47958,2689.0,4395.0,2653.0,1402.0,118.0,2413.0,1467.0,66.0,0.62279,0.6413,2571.0,1982.0,1186.0,1336.0,0.64353,0.65805,0.02075,0.01675
17,0.54062,0.52415,0.52556,0.52222,0.54062,0.54062,0.54062,1918.0,2944.0,4104.0,2173.0,76.0,1619.0,2261.0,108.0,0.41708,0.41304,1842.0,1325.0,1843.0,2065.0,0.44763,0.47146,0.03056,0.05842
18,0.61918,0.55424,0.53169,0.51079,0.61918,0.61918,0.61918,827.0,978.0,6070.0,3264.0,24.0,499.0,3381.0,160.0,0.12869,0.13043,803.0,479.0,2689.0,3104.0,0.1812,0.20553,0.05251,0.07509
19,0.6374,0.63016,0.51046,0.41833,0.6374,0.6374,0.6374,132.0,80.0,6968.0,3959.0,0.0,32.0,3848.0,184.0,0.00787,0.0,132.0,48.0,3120.0,3775.0,0.02544,0.03379,0.01757,0.03379
20,0.6383,0.6299,0.51255,0.42423,0.6383,0.6383,0.6383,159.0,97.0,6951.0,3932.0,0.0,35.0,3845.0,184.0,0.00861,0.0,159.0,62.0,3106.0,3748.0,0.03124,0.0407,0.02262,0.0407
