round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.77786,0.79712,0.56469,0.5543,0.77786,0.77786,0.77786
2,0.82575,0.77514,0.73089,0.74789,0.82575,0.82575,0.82575
3,0.83349,0.78782,0.74049,0.75866,0.83349,0.83349,0.83349
4,0.83735,0.79306,0.74751,0.76531,0.83735,0.83735,0.83735
5,0.83938,0.79429,0.75429,0.77045,0.83938,0.83938,0.83938
6,0.83772,0.79759,0.74084,0.76173,0.83772,0.83772,0.83772
7,0.83938,0.79646,0.74984,0.76803,0.83938,0.83938,0.83938
8,0.84049,0.80145,0.74564,0.76643,0.84049,0.84049,0.84049
9,0.84067,0.79883,0.75095,0.76955,0.84067,0.84067,0.84067
10,0.84067,0.79844,0.75169,0.76996,0.84067,0.84067,0.84067
11,0.84104,0.8001,0.75021,0.7694,0.84104,0.84104,0.84104
12,0.84141,0.80069,0.7507,0.76993,0.84141,0.84141,0.84141
13,0.84122,0.79991,0.75132,0.77014,0.84122,0.84122,0.84122
14,0.84104,0.79691,0.75638,0.77275,0.84104,0.84104,0.84104
15,0.84067,0.80021,0.74848,0.76817,0.84067,0.84067,0.84067
16,0.84085,0.79946,0.75058,0.76947,0.84085,0.84085,0.84085
17,0.84012,0.79487,0.7565,0.77216,0.84012,0.84012,0.84012
18,0.84067,0.79844,0.75169,0.76996,0.84067,0.84067,0.84067
19,0.84049,0.80223,0.74441,0.76572,0.84049,0.84049,0.84049
20,0.84085,0.79815,0.75305,0.77083,0.84085,0.84085,0.84085
21,0.84104,0.79902,0.75218,0.77049,0.84104,0.84104,0.84104
22,0.84049,0.79914,0.74959,0.76867,0.84049,0.84049,0.84049
23,0.84067,0.79937,0.74996,0.769,0.84067,0.84067,0.84067
24,0.84122,0.79938,0.7523,0.77069,0.84122,0.84122,0.84122
25,0.84104,0.79902,0.75218,0.77049,0.84104,0.84104,0.84104
26,0.84159,0.79748,0.75773,0.77387,0.84159,0.84159,0.84159
27,0.84178,0.79915,0.75514,0.77262,0.84178,0.84178,0.84178
28,0.84159,0.79669,0.75946,0.77478,0.84159,0.84159,0.84159
29,0.84067,0.79742,0.75366,0.77103,0.84067,0.84067,0.84067
30,0.84049,0.79808,0.75157,0.76976,0.84049,0.84049,0.84049
31,0.84159,0.79748,0.75773,0.77387,0.84159,0.84159,0.84159
32,0.8403,0.79772,0.75144,0.76956,0.8403,0.8403,0.8403
33,0.84067,0.79742,0.75366,0.77103,0.84067,0.84067,0.84067
34,0.84012,0.79842,0.74935,0.76827,0.84012,0.84012,0.84012
35,0.84049,0.79457,0.75897,0.77372,0.84049,0.84049,0.84049
36,0.84104,0.79763,0.7549,0.77196,0.84104,0.84104,0.84104
37,0.84012,0.79198,0.76366,0.77585,0.84012,0.84012,0.84012
38,0.84141,0.79691,0.7581,0.77393,0.84141,0.84141,0.84141
39,0.84104,0.79763,0.7549,0.77196,0.84104,0.84104,0.84104
40,0.84122,0.79569,0.75996,0.77477,0.84122,0.84122,0.84122
41,0.84196,0.79913,0.756,0.77322,0.84196,0.84196,0.84196
42,0.84141,0.80041,0.75119,0.77021,0.84141,0.84141,0.84141
43,0.84251,0.79931,0.7581,0.77473,0.84251,0.84251,0.84251
44,0.84104,0.79612,0.75811,0.77367,0.84104,0.84104,0.84104
45,0.84104,0.79955,0.75119,0.76995,0.84104,0.84104,0.84104
46,0.8403,0.79772,0.75144,0.76956,0.8403,0.8403,0.8403
47,0.84288,0.79989,0.75859,0.77526,0.84288,0.84288,0.84288
48,0.83938,0.78898,0.7686,0.77774,0.83938,0.83938,0.83938
49,0.84288,0.79827,0.76205,0.77705,0.84288,0.84288,0.84288
50,0.84122,0.79925,0.75255,0.77082,0.84122,0.84122,0.84122
